system:index,district,month,rainfall_mean_mm_per_day,rainfall_total_mm,year,.geo
4_000100000000000016a4,Muzaffargarh District,5,0.10679721865718415,3.310713765921453,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000100000000000016a5,Narowal District,5,0.7760371447886902,24.05715149552102,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000100000000000016a6,Okara District,5,0.2964978136343716,9.191432233386072,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000100000000000016a7,Pakpattan District,5,0.21482310933676957,6.659516388400082,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000100000000000016a8,Rahim Yar Khan District,5,0.08488196936721722,2.6313410536307,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000100000000000016a9,Rajanpur District,5,0.08588167616749982,2.6623319648426786,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000100000000000016aa,Rawalpindi District,5,0.6463997413418425,20.038391927059436,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000100000000000016ab,Sahiwal District,5,0.17595086672749766,5.454476871068677,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000100000000000016ac,Sargodha District,5,0.595892553663821,18.472669166159477,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000100000000000016ad,Sheikhupura District,5,0.5163216426614361,16.00597094480187,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000100000000000016ae,Sialkot District,5,0.5516718948312413,17.101828738763473,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000100000000000016af,Toba Tek Singh District,5,0.20160597864409352,6.2497853257557345,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000100000000000016b0,Vehari District,5,0.08916266027798013,2.7640424651242728,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0001000000000000168f,Attock District,6,0.908657519795883,27.259725547934284,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00010000000000001690,Bahawalnagar District,6,0.6907309383392487,20.72192816249101,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00010000000000001691,Bahawalpur District,6,0.5141177938005886,15.423533818920342,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00010000000000001692,Bhakkar District,6,0.5051874663653104,15.155623990366886,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00010000000000001693,Chakwal District,6,0.829627561851353,24.88882676812357,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00010000000000001694,Dera Ghazi Khan District,6,0.64791257823914,19.437377341818024,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00010000000000001695,Faisalabad District,6,0.9700685720296391,29.10205720567313,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00010000000000001696,Gujranwala District,6,1.0417957791874182,31.25387339430177,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00010000000000001697,Gujrat District,6,1.27847870470323,38.35436127309964,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00010000000000001698,Hafizabad District,6,0.7692134482744364,23.07640339678402,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00010000000000001699,Jhang District,6,0.5747564296722636,17.242692881156415,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0001000000000000169a,Jhelum District,6,1.0939167245831027,32.81750183084395,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0001000000000000169b,Kasur District,6,1.0030523089273327,30.091569246832034,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0001000000000000169c,Khanewal District,6,0.5157211578229243,15.471634715616519,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0001000000000000169d,Khushab District,6,0.5466737705407628,16.40021316806191,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0001000000000000169e,Lahore District,6,0.8687817628569688,26.063452809032196,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0001000000000000169f,Layyah District,6,0.43143852001590116,12.943155618313455,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000100000000000016a0,Lodhran District,6,0.6145499661304036,18.436498975729435,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000100000000000016a1,Mandi Bahauddin District,6,0.8720682475364617,26.162047398448376,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000100000000000016a2,Mianwali District,6,0.48579095219076407,14.573728544778884,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000100000000000016a3,Multan District,6,0.5122297976152511,15.366893885345133,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000100000000000016a4,Muzaffargarh District,6,0.45103519902294265,13.5310559591306,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000100000000000016a5,Narowal District,6,1.6176955067065852,48.53086514275887,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000100000000000016a6,Okara District,6,0.9725168856808515,29.175506574217376,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000100000000000016a7,Pakpattan District,6,0.6395728300268659,19.187184988448468,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000100000000000016a8,Rahim Yar Khan District,6,0.5774134640892369,17.322403903227737,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000100000000000016a9,Rajanpur District,6,0.40653140116523045,12.195942027243891,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000100000000000016aa,Rawalpindi District,6,1.820788466893715,54.62365408583982,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000100000000000016ab,Sahiwal District,6,0.6565766678117277,19.697300041287512,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000100000000000016ac,Sargodha District,6,0.6403602658804013,19.210808023821063,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000100000000000016ad,Sheikhupura District,6,0.9088955350633029,27.266866064528283,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000100000000000016ae,Sialkot District,6,1.5506664864388702,46.51999462126607,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000100000000000016af,Toba Tek Singh District,6,0.6036364704331533,18.10909409030897,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000100000000000016b0,Vehari District,6,0.6483352862398093,19.450058563173123,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0001000000000000168f,Attock District,7,5.550671513422114,172.07081670209254,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
