system:index,NDVI_mean,district,month,year,.geo
5_000100000000000016af,0.27460490503842166,Toba Tek Singh District,6,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000100000000000016b0,0.32223490679647776,Vehari District,6,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0001000000000000168f,0.1954893556415842,Attock District,7,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00010000000000001690,0.3264641948348636,Bahawalnagar District,7,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00010000000000001691,0.17077568946169544,Bahawalpur District,7,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00010000000000001692,0.20006593847678728,Bhakkar District,7,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00010000000000001693,0.2446006281270656,Chakwal District,7,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00010000000000001694,0.20113179963856107,Dera Ghazi Khan District,7,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00010000000000001695,0.4093496390469419,Faisalabad District,7,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00010000000000001696,0.29275606435950585,Gujranwala District,7,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00010000000000001697,0.3331789515971737,Gujrat District,7,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00010000000000001698,0.20241717059493,Hafizabad District,7,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00010000000000001699,0.3279008201140593,Jhang District,7,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0001000000000000169a,0.26286190263384523,Jhelum District,7,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0001000000000000169b,0.39032139426973433,Kasur District,7,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0001000000000000169c,0.3820862832539496,Khanewal District,7,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0001000000000000169d,0.2000998257748837,Khushab District,7,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0001000000000000169e,0.29690514679259894,Lahore District,7,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
